2013-12-16 20:43:29 status unpacked diffutils:armel 1:3.2-6
2013-12-16 20:43:30 upgrade dpkg:armel 1.16.12 1.16.12
2013-12-16 20:43:30 status half-configured dpkg:armel 1.16.12
2013-12-16 20:43:30 status unpacked dpkg:armel 1.16.12
2013-12-16 20:43:30 status half-installed dpkg:armel 1.16.12
2013-12-16 20:43:31 status half-installed dpkg:armel 1.16.12
2013-12-16 20:43:31 status unpacked dpkg:armel 1.16.12
2013-12-16 20:43:31 status unpacked dpkg:armel 1.16.12
2013-12-16 20:43:31 install e2fslibs:armel <none> 1.42.5-1.1
2013-12-16 20:43:31 status half-installed e2fslibs:armel 1.42.5-1.1
2013-12-16 20:43:32 status unpacked e2fslibs:armel 1.42.5-1.1
2013-12-16 20:43:32 status unpacked e2fslibs:armel 1.42.5-1.1
2013-12-16 20:43:32 install e2fsprogs:armel <none> 1.42.5-1.1
2013-12-16 20:43:32 status half-installed e2fsprogs:armel 1.42.5-1.1
2013-12-16 20:43:32 status unpacked e2fsprogs:armel 1.42.5-1.1
2013-12-16 20:43:33 status unpacked e2fsprogs:armel 1.42.5-1.1
2013-12-16 20:43:33 install libcomerr2:armel <none> 1.42.5-1.1
2013-12-16 20:43:33 status half-installed libcomerr2:armel 1.42.5-1.1
2013-12-16 20:43:33 status unpacked libcomerr2:armel 1.42.5-1.1
2013-12-16 20:43:33 status unpacked libcomerr2:armel 1.42.5-1.1
2013-12-16 20:43:33 install libss2:armel <none> 1.42.5-1.1
2013-12-16 20:43:33 status half-installed libss2:armel 1.42.5-1.1
2013-12-16 20:43:33 status unpacked libss2:armel 1.42.5-1.1
2013-12-16 20:43:33 status unpacked libss2:armel 1.42.5-1.1
2013-12-16 20:43:34 install libc-bin:armel <none> 2.13-38
2013-12-16 20:43:34 status half-installed libc-bin:armel 2.13-38
2013-12-16 20:43:34 status unpacked libc-bin:armel 2.13-38
2013-12-16 20:43:34 status unpacked libc-bin:armel 2.13-38
2013-12-16 20:43:35 upgrade libc6:armel 2.13-38 2.13-38
2013-12-16 20:43:35 status half-configured libc6:armel 2.13-38
